country;POP;EXPT;EMP;ARG;IND;SRV;NNI;WAT;RWT;COt;BRT;IMPT;VADD;TGHG;CGC
Austria;0.975383322;0.966091448;-0.664645016;-0.963411545;-0.933101925;0.957544796;0.977414655;0.186502773;-0.975736939;0.779782445;-0.823910617;0.781001329;0.973008095;0.902595061;0.902595061
Belgium;0.960253687;0.968235613;-0.767534783;-0.931497092;-0.969814436;0.971394489;0.97434357;-0.99092447;-0.960346294;-0.402104171;-0.77549667;0.853183534;0.747708429;-0.699542296;-0.699542296
Bulgaria;-0.954330444;0.942049247;0.773625829;-0.908894155;-0.807057431;0.905848111;0.928399662;-0.760107248;0.975244186;-0.714739173;-0.50368602;0.931951962;NA;-0.682136986;-0.682136986
Croatia;-0.922255403;0.983371457;-0.343342903;-0.899771804;-0.563733135;0.875219232;0.939129555;-1;0.865246614;0.11287236;-0.644009337;0.948986317;0.86496815;0.938156974;0.938156974
Cyprus;0.98547995;0.969229016;-0.636194314;-0.945728506;-0.821812475;0.91460783;0.964828669;0.143726949;-0.985841047;0.93906236;-0.966191369;0.933873371;0.910428095;0.954048782;0.954048782
Czech Republic;0.69254355;0.948527466;-0.85744324;-0.962273641;-0.926390083;0.952743327;0.938275588;-0.844141974;-0.699936462;-0.842612536;-0.00052637;0.953249597;0.959675699;-0.71665631;-0.71665631
Denmark;0.967859955;0.958026175;-0.869135992;-0.935778224;-0.941753171;0.966719318;0.971773285;-0.550867175;-0.971638089;-0.630582484;-0.603186426;0.949838313;0.986784965;-0.593801453;-0.593801453
Estonia;-0.881090734;0.965018001;0.860892082;-0.826883204;-0.584794952;0.878388823;0.968980927;0.873036534;0.995892362;0.001251364;0.651735985;0.966952218;0.971005918;-0.478236833;-0.478236833
Finland;0.984940534;0.963755292;0.114042108;-0.975655931;-0.876159166;0.969374687;0.975396029;0.334872497;-0.97631067;0.62300072;-0.839773734;0.94508822;0.911536914;0.716291447;0.716291447
France;0.981130758;0.963091087;-0.75686165;-0.976025155;-0.979555482;0.988175528;0.965492752;-0.321450433;-0.967193774;-0.368913257;-0.879389812;0.945108295;0.969985207;-0.83285944;-0.83285944
