Year;Austria;Belgium;Bulgaria;Croatia;Czech Republic;Denmark;Cyprus;Estonia;Finland;France;Germany;Greece;Hungary;Ireland;Italy;Latvia;Liechtenstein;Lithuania;Iceland;Luxembourg;Malta;Netherlands;Poland;Portugal;Romania;Slovak Republic;Slovenia;Spain;Sweden;Norway;European Union
1960;6592693841;11658722591;NA;NA;NA;NA;NA;NA;5224102196;62225478001;NA;4335186017;NA;1939329775;40385288344;NA;NA;NA;248434097;703925705.9;NA;12276734172;NA;3193200404;NA;NA;NA;12072126075;15822585034;5163271598;NA
1961;7311749633;12400145222;NA;NA;NA;NA;NA;NA;5921659485;67461644222;NA;4961400439;NA;2088012282;44842760293;NA;NA;NA;253885656.3;704145671.4;NA;13493833740;NA;3417516639;NA;NA;NA;13834300571;17212686615;5632460937;NA
1962;7756110210;13264015675;NA;NA;NA;NA;NA;NA;6340580854;75607529810;NA;5213047711;NA;2260349684;50383891899;NA;NA;NA;284916516.2;741509480.8;NA;14647057370;NA;3668222358;NA;NA;NA;16138545209;18667251380;6066976683;NA
1963;8374175258;14260017387;NA;NA;NA;NA;NA;NA;6885920329;84759195106;NA;5895278024;NA;2430843768;57710743060;NA;NA;NA;340061650.1;791140595.8;NA;15891241386;NA;3905734460;NA;NA;NA;19074913948;20204870630;6510239503;NA
1964;9169983886;15960106681;NA;NA;NA;NA;NA;NA;7766655086;94007851047;NA;6669673257;NA;2766608946;63175417019;NA;NA;NA;434267936.9;903158753.9;NA;18699380731;NA;4235608178;NA;NA;NA;21343844644;22532416750;7159202706;NA
1965;9994070616;17371457608;NA;NA;NA;NA;NA;NA;8589340019;1.02E+11;NA;7689154053;NA;2945704143;67978153851;NA;NA;NA;523694949.4;921600736.3;NA;21000586933;NA;4687464055;NA;NA;NA;24756958695;24795499686;8058681060;NA
1966;10887682273;18651883472;NA;NA;NA;11931739859;NA;NA;9208524505;1.10E+11;NA;8591517944;NA;3104034393;73654870011;NA;NA;NA;628893310.4;968440149.5;NA;22867203317;NA;5135387846;NA;NA;NA;28721062242;26971486546;8696460205;5.04E+11
1967;11579431669;19992040788;NA;NA;NA;13059064375;NA;NA;9368954010;1.19E+11;NA;9275600800;NA;3343636773;81133120065;NA;NA;NA;621225962.2;974721762.5;NA;25087562181;NA;5740241166;NA;NA;NA;31647119228;29275995675;9514496703;5.47E+11
1968;12440625313;21376353113;NA;NA;NA;13505573867;NA;NA;8823033880;1.30E+11;NA;10090675903;NA;3278584478;87942231678;NA;NA;NA;474399471.6;1066447131;NA;27817605743;NA;6354262628;NA;NA;NA;31475548481;31066819929;10159934137;5.86E+11
1969;13582798556;23710735895;NA;NA;NA;15414902267;NA;NA;10070766721;1.42E+11;NA;11615657031;NA;3787077344;97085082807;NA;NA;NA;414709311.4;1234878981;NA;34035946604;NA;6969025826;NA;NA;NA;36038711600;33738102482;11063065083;6.54E+11
1970;15373005769;26706196127;NA;NA;NA;17075457600;NA;NA;11357517271;1.48E+11;2.16E+11;13139862500;NA;4401259497;1.13E+11;NA;90098330.67;NA;527496590.9;1509155063;250721821.6;38164716869;NA;8108235007;NA;NA;NA;40992995959;38092452022;12814123115;7.26E+11
1971;17858485957;29821661541;NA;NA;NA;19085731252;NA;NA;12527405087;1.66E+11;2.50E+11;14591755682;NA;5104355309;1.25E+11;NA;104888628.2;NA;671258750;1572310772;264579879.8;44579122682;NA;9201607067;NA;NA;NA;46619420120;41566412923;14583114840;8.21E+11
1972;22059612417;37209417835;NA;NA;NA;23232379952;NA;NA;14743185403;2.03E+11;3.00E+11;16885506818;NA;6325627459;1.45E+11;NA;124941925;NA;840914457.3;1968733022;295118249.3;54706557264;NA;11239117124;NA;NA;NA;59132415739;48954145851;17358610850;9.91E+11
1973;29515467988;47743801490;NA;NA;NA;30730626663;NA;NA;19472363155;2.64E+11;3.98E+11;22347844649;NA;7490132356;1.75E+11;NA;165930611.7;NA;1156175524;2701874664;345602025.4;71840910058;NA;15090566639;NA;NA;NA;78639527127;59404966707;22534253703;1.28E+12
1974;35189299985;56033078190;NA;NA;NA;34160444798;NA;NA;24848821333;2.86E+11;4.45E+11;25351305682;NA;7906317069;2.00E+11;NA;193983720.5;NA;1517467734;3295861019;376094108.5;87243413477;NA;17512388319;NA;NA;NA;97274005192;66013338942;27145693810;1.45E+12
1975;40059206763;65678188659;NA;NA;NA;40474406216;489914760.7;NA;29472623727;3.61E+11;4.91E+11;28525872476;NA;9495165854;2.28E+11;NA;246387479.2;NA;1408989850;3233431611;474620439.6;1.00E+11;NA;19347608627;NA;NA;NA;1.15E+11;82885397596;32877805200;1.69E+12
