Series Name,Series Code,Time,Time Code,Austria [AUT],Belgium [BEL],Bulgaria [BGR],Croatia [HRV],Czech Republic [CZE],Denmark [DNK],Cyprus [CYP],Estonia [EST],Finland [FIN],France [FRA],Germany [DEU],Greece [GRC],Hungary [HUN],Ireland [IRL],Italy [ITA],Latvia [LVA],Liechtenstein [LIE],Lithuania [LTU],Iceland [ISL],Luxembourg [LUX],Malta [MLT],Netherlands [NLD],Poland [POL],Portugal [PRT],Romania [ROU],Slovak Republic [SVK],Slovenia [SVN],Spain [ESP],Sweden [SWE],Norway [NOR],European Union [EUU]
GDP (current US$),NY.GDP.MKTP.CD,1960,YR1960,6592693841.18495,11658722590.99,..,..,..,..,..,..,5224102195.52771,62225478000.8822,..,4335186016.83942,..,1939329775.43739,40385288344.1911,..,..,..,248434096.968726,703925705.942958,..,12276734172.0828,..,3193200404.37297,..,..,..,12072126075.397,15822585033.5764,5163271598.15702,..
GDP (current US$),NY.GDP.MKTP.CD,1961,YR1961,7311749633.36229,12400145221.595,..,..,..,..,..,..,5921659485.03284,67461644222.0352,..,4961400439.31722,..,2088012282.35667,44842760293.1924,..,..,..,253885656.329253,704145671.350213,..,13493833739.9949,..,3417516639.37596,..,..,..,13834300571.4849,17212686614.5726,5632460936.54576,..
GDP (current US$),NY.GDP.MKTP.CD,1962,YR1962,7756110210.11966,13264015675.3193,..,..,..,..,..,..,6340580854.39073,75607529809.9288,..,5213047711.42704,..,2260349684.08625,50383891898.9911,..,..,..,284916516.159537,741509480.796284,..,14647057370.1418,..,3668222357.65702,..,..,..,16138545209.246,18667251380.0746,6066976682.67364,..
GDP (current US$),NY.GDP.MKTP.CD,1963,YR1963,8374175257.73075,14260017387.0492,..,..,..,..,..,..,6885920328.66187,84759195105.8693,..,5895278024.09202,..,2430843768.44553,57710743059.8341,..,..,..,340061650.119898,791140595.772755,..,15891241386.291,..,3905734459.72693,..,..,..,19074913947.7196,20204870629.7441,6510239502.76489,..
GDP (current US$),NY.GDP.MKTP.CD,1964,YR1964,9169983885.71185,15960106680.6732,..,..,..,..,..,..,7766655085.78588,94007851047.3678,..,6669673257.1183,..,2766608945.87402,63175417019.0094,..,..,..,434267936.914583,903158753.943622,..,18699380731.3465,..,4235608177.67102,..,..,..,21343844643.7341,22532416750.0125,7159202706.48027,..
GDP (current US$),NY.GDP.MKTP.CD,1965,YR1965,9994070615.85997,17371457607.9374,..,..,..,..,..,..,8589340019.02985,101537248148.427,..,7689154053.35866,..,2945704142.99765,67978153850.5191,..,..,..,523694949.370689,921600736.304026,..,21000586933.2041,..,4687464054.83455,..,..,..,24756958694.9238,24795499685.775,8058681060.159,..
GDP (current US$),NY.GDP.MKTP.CD,1966,YR1966,10887682273.1014,18651883472.4808,..,..,..,11931739858.7046,..,..,9208524504.87684,110045852177.928,..,8591517943.60129,..,3104034393.23162,73654870011.2757,..,..,..,628893310.399926,968440149.470951,..,22867203317.4022,..,5135387845.97108,..,..,..,28721062242.1634,26971486546.2848,8696460205.3397,503725411694.311
GDP (current US$),NY.GDP.MKTP.CD,1967,YR1967,11579431668.9165,19992040788.4593,..,..,..,13059064374.6287,..,..,9368954010.3132,118972977486.207,..,9275600800.35644,..,3343636773.36759,81133120065.4202,..,..,..,621225962.154708,974721762.535327,..,25087562181.3218,..,5740241165.63433,..,..,..,31647119228.1982,29275995674.6888,9514496703.39762,547452701673.127
GDP (current US$),NY.GDP.MKTP.CD,1968,YR1968,12440625312.8685,21376353113.475,..,..,..,13505573866.6667,..,..,8823033880.32993,129785441507.456,..,10090675902.5364,..,3278584478.33023,87942231678.3505,..,..,..,474399471.622359,1066447130.82052,..,27817605743.2503,..,6354262628.33537,..,..,..,31475548481.4095,31066819929.2853,10159934136.7838,586400667118.457
GDP (current US$),NY.GDP.MKTP.CD,1969,YR1969,13582798556.2404,23710735894.7022,..,..,..,15414902266.6667,..,..,10070766720.5011,141903068680.309,..,11615657031.2387,..,3787077343.72783,97085082807.3751,..,..,..,414709311.35296,1234878980.502,..,34035946604.1815,..,6969025825.62869,..,..,..,36038711599.541,33738102482.1558,11063065083.4888,653662940157.842
GDP (current US$),NY.GDP.MKTP.CD,1970,YR1970,15373005768.7219,26706196127.4708,..,..,..,17075457600,..,..,11357517270.6682,148456359985.827,215838448404.852,13139862500,..,4401259497.2595,113395315675.341,..,90098330.6654471,..,527496590.909091,1509155062.52521,250721821.553678,38164716868.57,..,8108235006.9735,..,..,..,40992995959.1158,38092452021.9593,12814123115.2613,726137351252.253
GDP (current US$),NY.GDP.MKTP.CD,1971,YR1971,17858485956.6031,29821661540.9917,..,..,..,19085731252.4407,..,..,12527405086.6724,165966615366.402,249985055651.592,14591755681.8182,..,5104355308.54734,124672367041.199,..,104888628.171944,..,671258750,1572310771.77053,264579879.784878,44579122681.7043,..,9201607067.13781,..,..,..,46619420119.7605,41566412922.6087,14583114840.0629,821041577442.672
GDP (current US$),NY.GDP.MKTP.CD,1972,YR1972,22059612417.4058,37209417835.2122,..,..,..,23232379951.9376,..,..,14743185402.9252,203494148244.473,299801542231.491,16885506818.1818,..,6325627458.69394,145260039508.632,..,124941925.010473,..,840914457.285293,1968733021.7212,295118249.324932,54706557264.4878,..,11239117123.7954,..,..,..,59132415739.0629,48954145850.8315,17358610849.701,990707263525.075
GDP (current US$),NY.GDP.MKTP.CD,1973,YR1973,29515467987.912,47743801490.3747,..,..,..,30730626663.3606,..,..,19472363155.438,264429876252.21,398374022246.615,22347844649.0219,..,7490132355.77851,175492057123.879,..,165930611.729019,..,1156175524.24276,2701874663.63072,345602025.375393,71840910058.332,..,15090566639.4113,..,..,..,78639527127.3558,59404966707.1188,22534253702.8686,1282385682828.09
GDP (current US$),NY.GDP.MKTP.CD,1974,YR1974,35189299985.2768,56033078189.7266,..,..,..,34160444798.1099,..,..,24848821332.9132,285552373158.756,445303484014.814,25351305681.8182,..,7906317068.6798,199564490324.501,..,193983720.461869,..,1517467733.86693,3295861019.05551,376094108.475331,87243413476.5145,..,17512388318.8635,..,..,..,97274005191.8085,66013338942.1994,27145693810.1341,1452171279559.86
GDP (current US$),NY.GDP.MKTP.CD,1975,YR1975,40059206763.056,65678188658.55,..,..,..,40474406216.2821,489914760.682807,..,29472623727.1699,360832186018.051,490636517529.215,28525872476.0893,..,9495165853.65854,227695850533.808,..,246387479.177159,..,1408989850.35784,3233431611.27564,474620439.58496,100249523178.808,..,19347608627.451,..,..,..,114777045507.246,82885397596.4549,32877805200.023,1691344453627.82
GDP (current US$),NY.GDP.MKTP.CD,1976,YR1976,42959976068.1138,71113883176.5935,..,..,..,44575892473.1183,576090073.715036,..,31849514232.9589,372319038514.067,519754453161.411,31152840485.0746,..,9465078120.57741,224717279134.683,..,272493879.020643,..,1671997859.14256,3544268025.07837,527936988.791275,109168720703.451,..,20332834217.5066,..,..,..,118507183785.128,89362071672.9034,35942270686.3374,1770550681960.52
GDP (current US$),NY.GDP.MKTP.CD,1977,YR1977,51545759220.7143,82839905346.0889,..,..,..,49784338519.4563,734887973.975806,..,33499799173.6757,410279486493.715,600498238103.26,36176233117.4838,..,11261810825.6629,257596312925.17,..,303496276.263782,..,2211828983.75823,3922895891.95273,625573345.532174,127016990571.967,..,21439525405.9717,..,..,..,132449276013.143,94468740784.5412,41508030431.1074,2005460212018.38
GDP (current US$),NY.GDP.MKTP.CD,1978,YR1978,62052258694.2102,101246525553.99,..,..,..,60362931853.6249,964026512.197839,..,36256160722.0217,506707848837.209,740469983154.82,44270203153.9889,..,14665538054.9683,315058323522.701,..,436918176.733781,..,2515601748.36782,4884869091.84066,793675169.878579,155859695762.884,..,23487613138.6861,..,..,..,160599686848.958,104442351222.751,46523091009.6713,2443383354605.28
