TIME;BE;BG;CZ;DK;DE;EE;IE;GR;ES;FR;HR;IT;CY;LV;LT;LU;HU;MT;NL;AT;PL;PO;RO;SK;FI;SE
1999;1804;996;1165;542;5107;410;2161;2908;7431;4775;1293;23633;898;617;1079;6;1802;495;158;1586;1110;3987;2920;392;1601;1901
;;;;;;;;;;;;;;;;;;;;;;;;;;
2000;1276;694;868;387;6753;204;1634;2770;6743;4263;760;22439;980;209;398;6.469;1413;436;131;1298;1140;3283;2466;189;1520;1652
;;;;;;;;;;;;;;;;;;;;;;;;;;
2001;1553;596;853;521;6984;244;1755;2685;6753;4316;901;20854;944;168;565;6.825;1268;546;143;1480;1085;3308;3623;398;1390;1681
;;;;;;;;;;;;;;;;;;;;;;;;;;
2002;1015;657;486;616;6991;168;1493;2663;7713;3161;909;21748;985;117;442;6.127;700;529;85;1083;1220;3597;2475;429;1306;1426
;;;;;;;;;;;;;;;;;;;;;;;;;;
2003;1534;395;484;718;6600;165;1037;2574;6821;3160;1091;20816;1144;104;274;5.219;559;548;106;1234;1264;2359;2155;359;1492;1416
;;;;;;;;;;;;;;;;;;;;;;;;;;
2004;1332;297;525;590;6714;157;1228;2497;6419;3714;660;14125;990;85;228;3.374;402;577;92;1175;941;2199;1549;380;1314;1239
;;;;;;;;;;;;;;;;;;;;;;;;;;
2005;1439;340;500;550;6292;133;1049;2579;6306;4296;711;11708;1024;78;197;2.217;196;605;80;1081.415;786;2657;1305;305;1296;1068
;;;;;;;;;;;;;;;;;;;;;;;;;;
2006;1416;327;389;628;6212;107;1071;2815;4887;3520;727;11454;1203;53;216;1.576;162;614;83;1060.88;789;1850;1302;364;1301;1085
;;;;;;;;;;;;;;;;;;;;;;;;;;
2007;1117;257;373;424;5930;79;798;2599;4147;4398;713;8457;1242;40;68;1.094;153;632;82;856.604;489;1759;633;352;1029;212
;;;;;;;;;;;;;;;;;;;;;;;;;;
2008;758;307;323;415;5730;81;462;2710;4068;5315;616;7975;1318;27;125;0.672;94;579;79;787.965;382;1571;351;340;1117;905
;;;;;;;;;;;;;;;;;;;;;;;;;;
2009;710;325;289;249;5466;75;453;2415;3590;4015;614;6437;1247;35;146;0.749;156;530;77;617.598;344;1227;468;318;687;1097
;;;;;;;;;;;;;;;;;;;;;;;;;;
2010;524;106;224;292;5117;85;553;1750;3265;3387;227;3684;1117;26;134;2.276;59;535;63;651.029;291;982;262;362;664;906
;;;;;;;;;;;;;;;;;;;;;;;;;;
2011;386;85;151;167;5181;65;201;1432;2968;3808;253;3427;1097;18;46;2.055;40;547;40;472.87;367;815;326;318;536;861
;;;;;;;;;;;;;;;;;;;;;;;;;;
2012;209;91;112;168;5130;68;192;1654;2693;3865;184;2543;922;14;165;1.838;40;588;27;365.068;339;640;350;353;635;1068
;;;;;;;;;;;;;;;;;;;;;;;;;;
2013;115;60;108;138;4126;54;183;1331;2364;3489;89;2233;680;5;73;1.549;33;480;30;345.311;257;487;135;221;487;856
;;;;;;;;;;;;;;;;;;;;;;;;;;
2014;98;48;57;103;4290;43;111;1374;2127;2425;63;2045;833;1;46;1.252;27;475;37;297.051;242;368;156;162;507;293
;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;93;62;52;17.606;4651;61;100;1423;2196;2316;83;2386;875;NA;35;0.998;23;262;29.13;232.29;227;482;175;205;370;-94
;;;;;;;;;;;;;;;;;;;;;;;;;;
2016;67;60;59;3.883;2781;82;93;1416;2485;3451;33;2290;911;NA;19;1.359;20;183;24.039;260.358;244;467;82.892;238;384;493
;;;;;;;;;;;;;;;;;;;;;;;;;;
2017;90.2;50.113;56;31.467;3519;49;53.291;1442.072;2976;2541;56.1;1952.55;813.989;0.949;18.4;2.346;27;52.563;23.962;170.977;220.12;415.607;40.164;215;252;462
;;;;;;;;;;;;;;;;;;;;;;;;;;
2018;103.6;43.96;35;70.098;3181;41;41.973;1413.603;2699;1455.331;18.6;1642.376;846.85;3.311;15.8;2.716;26;5.084;18.48;74.252;181.084;442.753;61.576;226;113;369
;;;;;;;;;;;;;;;;;;;;;;;;;;
2019;64.1;42.209;22;122;2953;26;103.394;1401.298;2461;2186.38;12;1233;797;2.328;15.2;2.024;13;-12.231;7.26;204.124;168.772;446.6;32;3;857;-259
